price_ref,mid,bid,ask,inventory,cash,equity,reason
115252.0,115255.0,,,0.0,0.0,0.0,risk_block
115236.49,115244.245,,,0.0,0.0,0.0,risk_block
115236.48,115236.48000000001,,,0.0,0.0,0.0,risk_block
115247.99,115242.235,,,0.0,0.0,0.0,risk_block
115257.0,115252.495,,,0.0,0.0,0.0,risk_block
115278.72,115267.86,,,0.0,0.0,0.0,risk_block
115278.73,115278.725,,,0.0,0.0,0.0,risk_block
115269.53,115274.125,,,0.0,0.0,0.0,risk_block
115269.52,115269.525,,,0.0,0.0,0.0,risk_block
115277.99,115273.76000000001,,,0.0,0.0,0.0,risk_block
115277.99,115277.995,,,0.0,0.0,0.0,risk_block
115278.72,115278.36,,,0.0,0.0,0.0,risk_block
115278.72,115278.725,,,0.0,0.0,0.0,risk_block
115278.72,115278.725,,,0.0,0.0,0.0,risk_block
115267.19,115272.95999999999,,,0.0,0.0,0.0,risk_block
115252.21,115259.705,,,0.0,0.0,0.0,risk_block
115252.21,115252.215,,,0.0,0.0,0.0,risk_block
115252.21,115252.215,,,0.0,0.0,0.0,risk_block
115252.22,115252.215,,,0.0,0.0,0.0,risk_block
115252.21,115252.215,,,0.0,0.0,0.0,risk_block
115252.21,115252.215,,,0.0,0.0,0.0,risk_block
115243.44,115247.83,,,0.0,0.0,0.0,risk_block
115262.42,115252.935,,,0.0,0.0,0.0,risk_block
115262.42,115262.42499999999,,,0.0,0.0,0.0,risk_block
115262.43,115262.42499999999,,,0.0,0.0,0.0,risk_block
115275.77,115269.095,,,0.0,0.0,0.0,risk_block
115275.76,115275.765,,,0.0,0.0,0.0,risk_block
115283.83,115279.79999999999,,,0.0,0.0,0.0,risk_block
115283.84,115283.83499999999,,,0.0,0.0,0.0,risk_block
115283.83,115283.83499999999,,,0.0,0.0,0.0,risk_block
115288.85,115286.345,,,0.0,0.0,0.0,risk_block
115290.43,115289.645,,,0.0,0.0,0.0,risk_block
115290.44,115290.435,,,0.0,0.0,0.0,risk_block
115290.43,115290.435,,,0.0,0.0,0.0,risk_block
115313.95,115302.195,,,0.0,0.0,0.0,risk_block
115317.85,115315.905,,,0.0,0.0,0.0,risk_block
115317.86,115317.85500000001,,,0.0,0.0,0.0,risk_block
115303.64,115310.75,,,0.0,0.0,0.0,risk_block
115303.64,115303.64499999999,,,0.0,0.0,0.0,risk_block
115283.83,115293.73999999999,,,0.0,0.0,0.0,risk_block
115321.78,115302.805,,,0.0,0.0,0.0,risk_block
115321.78,115321.775,,,0.0,0.0,0.0,risk_block
115321.78,115321.775,,,0.0,0.0,0.0,risk_block
115310.25,115316.005,,,0.0,0.0,0.0,risk_block
115310.24,115310.245,,,0.0,0.0,0.0,risk_block
115310.25,115310.245,,,0.0,0.0,0.0,risk_block
115313.47,115311.86,,,0.0,0.0,0.0,risk_block
115292.4,115302.935,,,0.0,0.0,0.0,risk_block
115292.4,115292.39499999999,,,0.0,0.0,0.0,risk_block
115292.4,115292.39499999999,,,0.0,0.0,0.0,risk_block
